iter	RMSE
0	6087.85083
1	5225.814918
2	4381.018615
3	3691.74141
4	3146.285289
5	2806.430415
6	2482.039891
7	2241.305152
8	2097.740105
9	1983.783136
10	1895.37468
11	1810.6836
12	1762.010217
13	1703.955692
14	1651.696055
15	1593.420594
16	1532.938186
17	1490.622709
18	1474.411924
19	1452.424829
20	1404.648949
21	1377.787963
22	1328.113512
23	1298.626782
24	1276.881896
25	1246.971325
26	1226.56508
27	1204.954137
28	1193.964145
29	1187.157602
30	1179.235947
31	1161.938463
32	1131.690542
33	1117.903922
34	1106.055184
35	1094.12678
36	1082.527791
37	1079.305365
38	1048.183553
39	1019.866082
40	1010.177961
41	987.5131982
42	979.7792461
43	957.8163742
44	942.9001619
45	929.0876252
46	919.7665814
47	910.8277334
48	894.4290314
49	887.9067541
50	886.240287
51	875.9973106
52	871.010895
53	853.0719384
54	850.2012565
55	843.8268709
56	835.4811163
57	829.2026388
58	816.9603688
59	815.5118819
60	814.327827
61	810.9751137
62	806.7902188
63	795.2669355
64	787.3735531
65	781.6476883
66	770.4135918
67	767.3935698
68	758.8903051
69	756.7007295
70	755.3752493
71	747.7467845
72	740.4536236
73	731.8302354
74	723.33504
75	717.0283008
76	709.179137
77	701.128872
78	696.4981087
79	692.4325431
80	690.1990924
81	685.1449979
82	680.7882641
83	678.8609223
84	677.8928044
85	675.4864296
86	669.9108846
87	664.1270858
88	660.5709629
89	660.0237856
90	656.9719637
91	653.9719433
92	652.259112
93	651.6383644
94	648.6984582
95	648.3815162
96	646.4584138
97	644.5031444
98	636.9405317
99	633.8872364
