iter	Passed	Remaining
0	1	127
1	2	111
2	3	105
3	4	105
4	6	130
5	8	140
6	10	132
7	10	125
8	11	119
9	12	114
10	13	109
11	14	105
12	15	101
13	16	98
14	17	97
15	17	94
16	18	91
17	19	89
18	20	87
19	22	89
20	23	88
21	24	85
22	25	84
23	26	82
24	26	80
25	27	78
26	28	77
27	29	75
28	30	74
29	31	72
30	31	71
31	32	69
32	33	68
33	34	67
34	36	68
35	38	67
36	38	66
37	39	64
38	40	63
39	41	62
40	42	60
41	43	59
42	44	58
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	47
54	56	46
55	57	45
56	58	44
57	59	43
58	60	42
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	78	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	86	14
86	87	13
87	88	12
88	89	11
89	90	10
90	91	9
91	92	8
92	92	6
93	94	6
94	95	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
