iter	Passed	Remaining
0	378	378054
1	602	300656
2	929	308894
3	1202	299420
4	1462	290999
5	1705	282506
6	1950	276687
7	2210	274129
8	2476	272690
9	2704	267762
10	2953	265507
11	3259	268387
12	3552	269721
13	3799	267569
14	4081	267994
15	4378	269301
16	4616	266923
17	4861	265230
18	5123	264545
19	5365	262913
20	5607	261433
21	5848	259994
22	6097	259028
23	6380	259489
24	6684	260711
25	6979	261447
26	7273	262114
27	7589	263455
28	7934	265663
29	8234	266235
30	8544	267090
31	8817	266734
32	9117	267167
33	9428	267874
34	9750	268840
35	10065	269531
36	10339	269104
37	10630	269115
38	10954	269937
39	11223	269355
40	11522	269510
41	11866	270677
42	12127	269897
43	12357	268496
44	12592	267244
45	12815	265785
46	13049	264600
47	13296	263713
48	13567	263315
49	13851	263169
50	14128	262896
51	14401	262546
52	14679	262295
53	14969	262251
54	15260	262210
55	15539	261948
56	15819	261711
57	16100	261486
58	16386	261350
59	16665	261093
60	16958	261056
61	17236	260769
62	17505	260360
63	17772	259916
64	18038	259483
65	18300	258975
66	18561	258481
67	18821	257958
68	19086	257532
69	19345	257015
70	19608	256563
71	19873	256146
72	20147	255843
73	20411	255417
74	20772	256188
75	21125	256846
76	21404	256573
77	21683	256304
78	21964	256062
79	22245	255827
80	22524	255553
81	22843	255733
82	23128	255528
83	23394	255111
84	23662	254717
85	23930	254328
86	24193	253892
87	24471	253613
88	24773	253583
89	25136	254160
90	25424	253969
91	25708	253729
92	25975	253334
93	26235	252869
94	26504	252489
95	26817	252531
96	27200	253221
97	27481	252937
98	27767	252713
99	28147	253331
100	28416	252932
101	28676	252470
102	29027	252793
103	29305	252480
104	29566	252016
105	29829	251584
106	30098	251199
107	30365	250799
108	30628	250365
109	30904	250044
110	31168	249631
111	31432	249214
112	31695	248798
113	31963	248419
114	32226	248002
115	32495	247638
116	32757	247219
117	33045	247000
118	33305	246575
119	33570	246181
120	33836	245805
121	34102	245429
122	34374	245095
123	34642	244734
124	34908	244362
125	35184	244057
126	35477	243871
127	35749	243540
128	36020	243207
129	36288	242853
130	36632	243005
131	36902	242662
132	37169	242297
133	37509	242412
134	37776	242047
135	38042	241681
136	38311	241332
137	38578	240976
138	38848	240638
139	39144	240458
140	39416	240134
141	39708	239931
142	40097	240305
143	40389	240090
144	40696	239966
145	41001	239828
146	41312	239726
147	41630	239658
148	41892	239262
149	42162	238920
150	42478	238835
151	42774	238635
152	43070	238433
153	43344	238112
154	43611	237754
155	43910	237566
156	44195	237302
157	44642	237902
158	45062	238346
159	45359	238137
160	45699	238149
161	46246	239224
162	46707	239843
163	47113	240162
164	47614	240960
165	47930	240805
166	48212	240486
167	48633	240853
168	49037	241125
169	49399	241187
170	49783	241350
171	50183	241581
172	50598	241879
173	50930	241775
174	51313	241906
175	51806	242548
176	52296	243165
177	53016	244827
178	53448	245145
179	53835	245250
180	54167	245100
181	54494	244924
182	54976	245442
183	55352	245477
184	55713	245440
185	56069	245380
186	56414	245265
187	56784	245260
188	57132	245155
189	57511	245179
190	57871	245118
191	58235	245073
192	58569	244900
193	58931	244839
194	59284	244740
195	59649	244683
196	59994	244546
197	60353	244460
198	60691	244291
199	61058	244233
200	61398	244067
201	61748	243938
202	62074	243711
203	62391	243448
204	62707	243182
205	63032	242952
206	63357	242716
207	63695	242533
208	64004	242235
209	64331	242009
210	64632	241682
211	64951	241423
212	65268	241156
213	65586	240894
214	65933	240732
215	66250	240464
216	66581	240245
217	66907	240008
218	67250	239828
219	67562	239540
220	67880	239271
221	68199	239004
222	68514	238723
223	68825	238432
224	69154	238199
225	69467	237910
226	69784	237636
227	70101	237361
228	70404	237038
229	70744	236839
230	71063	236571
231	71374	236273
232	71697	236017
233	72025	235775
234	72339	235487
235	72655	235208
236	72975	234936
237	73289	234649
238	73598	234344
239	73895	234003
240	74199	233680
241	74499	233350
242	74828	233107
243	75143	232822
244	75453	232519
245	75744	232159
246	76070	231905
247	76386	231622
248	76738	231447
249	77059	231177
250	77379	230906
251	77704	230646
252	78019	230358
253	78334	230068
254	78642	229759
255	78968	229501
256	79277	229196
257	79598	228922
258	79913	228632
259	80231	228352
260	80550	228071
261	80873	227804
262	81191	227522
263	81513	227248
264	81855	227033
265	82185	226781
266	82511	226520
267	82831	226241
268	83145	225944
269	83474	225691
270	83878	225636
271	84201	225364
272	84560	225185
273	84896	224945
274	85226	224687
275	85550	224415
276	85865	224119
277	86195	223861
278	86511	223564
279	86829	223274
280	87140	222967
281	87449	222654
282	87763	222354
283	88062	222016
284	88369	221698
285	88680	221390
286	88996	221095
287	89312	220799
288	89625	220498
289	89962	220252
290	90278	219956
291	90592	219654
292	90915	219376
293	91234	219086
294	91548	218784
295	91868	218497
296	92220	218285
297	92535	217987
298	92842	217668
299	93161	217376
300	93478	217080
301	93803	216804
302	94117	216500
303	94430	216195
304	94741	215886
305	95057	215587
306	95372	215286
307	95695	215005
308	96044	214778
309	96389	214544
310	96732	214304
311	97039	213984
312	97341	213653
313	97657	213352
314	97981	213071
315	98295	212766
316	98609	212461
317	98945	212204
318	99296	211977
319	99627	211709
320	99946	211413
321	100270	211129
322	100606	210868
323	100960	210646
324	101287	210365
325	101612	210081
326	101942	209807
327	102294	209579
328	102614	209283
329	102936	208992
330	103257	208697
331	103576	208401
332	103913	208139
333	104234	207845
334	104561	207562
335	104881	207266
336	105189	206946
337	105506	206642
338	105837	206368
339	106157	206071
340	106507	205830
341	106835	205549
342	107189	205317
343	107541	205079
344	107851	204761
345	108157	204436
346	108483	204148
347	108811	203865
348	109131	203565
349	109444	203254
350	109768	202961
351	110095	202675
352	110415	202377
353	110782	202162
354	111111	201878
355	111432	201580
356	111855	201466
357	112218	201241
358	112767	201347
