iter	Logloss
0	0.6595377659
1	0.6267526506
2	0.5962947031
3	0.5695012955
4	0.5446149309
5	0.5222173206
6	0.4997184195
7	0.4802086373
8	0.4610301754
9	0.4424256811
10	0.4254045638
11	0.409716371
12	0.3954077202
13	0.3820761484
14	0.3694906764
15	0.357322797
16	0.3465357771
17	0.3365567298
18	0.3270234664
19	0.3187479535
20	0.3111414664
21	0.3036870978
22	0.2967748599
23	0.2902832052
24	0.2839675295
25	0.2783984506
26	0.2730436527
27	0.268521051
28	0.2635821911
29	0.2590918395
30	0.2548926756
31	0.2513029332
32	0.2479130827
33	0.2449782043
34	0.2418847035
35	0.2394690139
36	0.2368046709
37	0.2344344983
38	0.2318160749
39	0.2295540116
40	0.2274280396
41	0.2253803213
42	0.2234541447
43	0.2216184895
44	0.2199867665
45	0.2183400626
46	0.2171013888
47	0.2156495745
48	0.2143037343
49	0.21319425
50	0.2119021153
51	0.2107902549
52	0.2097842854
53	0.2086733288
54	0.2078482784
55	0.2069465116
56	0.2061926894
57	0.2053036586
58	0.2046516576
59	0.2039118884
60	0.2033509377
61	0.2027620213
62	0.2021059194
63	0.2016403167
64	0.2012509697
65	0.2008889365
66	0.2003230848
67	0.1997503468
68	0.1992196411
69	0.1987436989
70	0.1982810698
71	0.197850484
72	0.1974798242
73	0.1970917198
74	0.1967665692
75	0.196480435
76	0.1961089732
77	0.1957406739
78	0.195399407
79	0.195137437
80	0.1948234327
81	0.1945740129
82	0.1942802862
83	0.1940508636
84	0.1938637894
85	0.1936005064
86	0.1933746219
87	0.1932069006
88	0.1929958092
89	0.1928031687
90	0.1926514036
91	0.1924351269
92	0.1922586413
93	0.1920966921
94	0.1919388022
95	0.1918027293
96	0.1916893888
97	0.1915304965
98	0.1913926582
99	0.1912443574
100	0.1910629454
101	0.1908830566
102	0.1907700663
103	0.1906166798
104	0.1905097038
105	0.1903615944
106	0.1902543498
107	0.1901299288
108	0.1900459693
109	0.1899284419
110	0.1897937108
111	0.1897131999
112	0.1896016319
113	0.1894580454
114	0.18935184
115	0.1893243852
116	0.1892067238
117	0.1891196057
118	0.1890180812
119	0.1889223364
120	0.1888096281
121	0.188764743
122	0.1886832609
123	0.1886051962
124	0.1884946181
125	0.1883988194
126	0.1882861368
127	0.1882229872
128	0.1881429786
129	0.1880468831
130	0.1879593613
131	0.1878707007
132	0.1877878107
133	0.1877023761
134	0.1875748986
135	0.1875225493
136	0.1874344063
137	0.1873790037
138	0.1872880836
139	0.1872152313
140	0.1871344428
141	0.1870864914
142	0.1870213445
143	0.1869546535
144	0.1868606033
145	0.1867937508
146	0.1867476606
147	0.1866712934
148	0.186626109
149	0.1865464442
150	0.1864850918
151	0.1864632756
152	0.1864101597
153	0.1863292937
154	0.186283098
155	0.1862585952
156	0.1861776474
157	0.1860975237
158	0.1860457211
159	0.1860012566
160	0.1859276712
161	0.1858624745
162	0.1858126041
163	0.1857629774
164	0.1857026714
165	0.1856437353
166	0.1856017846
167	0.1855527074
168	0.1854919445
169	0.1854287965
170	0.1853642006
171	0.185323934
172	0.1852833347
173	0.1852452576
174	0.1852143196
175	0.1851545875
176	0.1851020098
177	0.1850546537
178	0.185015161
179	0.1849753812
180	0.1849285017
181	0.1848895938
182	0.1848547313
183	0.1848388577
184	0.1847929695
185	0.1847695102
186	0.1847146525
187	0.1846772194
188	0.184637134
189	0.1845915866
190	0.1845540085
191	0.1845104871
192	0.184445551
193	0.1843907276
194	0.1843608759
195	0.1843411105
196	0.184319448
197	0.1842723661
198	0.1842288153
199	0.1841865287
200	0.1841631358
201	0.1841100396
202	0.1840913583
203	0.1840446851
204	0.1839857322
205	0.1839367557
206	0.1839347623
207	0.1839029486
208	0.1838780904
209	0.1838645395
210	0.1837896558
211	0.1837546473
212	0.1837239125
213	0.1836826809
214	0.1836694745
215	0.1836293159
216	0.1835813393
217	0.1835311568
218	0.1835007485
219	0.1834571876
220	0.183446952
221	0.1834098525
222	0.1833775545
223	0.1833331783
224	0.1833039611
225	0.1832652278
226	0.1832246411
227	0.1831942215
228	0.1831556291
229	0.1831301033
230	0.1830896977
231	0.1830822219
232	0.1830318286
233	0.1829876298
234	0.1829491713
235	0.1829323029
236	0.1828882762
237	0.18284405
238	0.1828319558
239	0.1828084234
240	0.1827710464
241	0.1827411142
242	0.1826933353
243	0.1826692654
244	0.1826485507
245	0.1826120755
246	0.1825732104
247	0.182549324
248	0.1825107559
249	0.1824696604
250	0.1824448671
251	0.1824248656
252	0.1823925382
253	0.1823602715
254	0.182323758
255	0.1822921342
256	0.1822707681
257	0.1822344463
258	0.1822163252
259	0.1821924499
260	0.1821684748
261	0.1821444896
262	0.1821136322
263	0.1820725829
264	0.1820406694
265	0.1819892817
266	0.1819208101
267	0.1818735262
268	0.1818436954
269	0.1818001018
270	0.1817562281
271	0.1817218758
272	0.1817019237
273	0.1816870109
274	0.1816465389
275	0.1816051561
276	0.1815551104
277	0.1815332468
278	0.181496506
279	0.1814672489
280	0.181434984
281	0.1813923647
282	0.1813675503
