iter	Passed	Remaining
0	3	3508
1	7	3521
2	11	3669
3	13	3484
4	17	3434
5	20	3379
6	23	3381
7	27	3427
8	31	3510
9	36	3580
10	39	3578
11	43	3595
12	47	3605
13	52	3683
14	55	3657
15	59	3664
16	63	3676
17	67	3658
18	70	3624
19	73	3586
20	77	3594
21	80	3594
22	84	3594
23	88	3579
24	91	3571
25	95	3584
26	99	3599
27	103	3594
28	107	3611
29	111	3618
30	115	3620
31	119	3614
32	123	3632
33	127	3613
34	130	3610
35	134	3611
36	139	3624
37	144	3649
38	148	3664
39	152	3661
40	156	3658
41	161	3676
42	165	3673
43	169	3674
44	173	3686
45	178	3693
46	181	3679
47	188	3739
48	193	3753
49	198	3762
50	202	3760
51	206	3767
52	210	3763
53	214	3764
54	218	3760
55	223	3775
56	228	3780
57	233	3786
58	237	3789
59	243	3810
60	247	3809
61	252	3812
62	257	3822
63	261	3822
64	264	3803
65	267	3782
66	272	3793
67	276	3788
68	280	3784
69	284	3784
70	289	3785
71	293	3778
72	297	3775
73	302	3780
74	306	3781
75	310	3778
76	314	3774
77	319	3779
78	323	3776
79	328	3777
80	333	3778
81	338	3791
82	342	3787
83	347	3789
84	350	3776
85	355	3773
86	359	3771
87	363	3768
88	369	3777
89	373	3775
90	378	3776
91	383	3785
92	387	3783
93	392	3780
94	397	3785
95	401	3782
96	405	3776
97	409	3770
98	414	3768
99	418	3764
100	422	3757
101	426	3755
102	431	3755
103	435	3754
104	440	3753
105	445	3753
106	450	3758
107	454	3757
108	459	3759
109	464	3760
110	469	3757
111	472	3749
112	478	3752
113	482	3747
114	485	3739
115	488	3723
116	493	3721
117	497	3715
118	501	3711
119	505	3710
120	511	3715
121	516	3715
122	520	3710
123	525	3711
124	529	3708
125	533	3702
126	537	3696
127	542	3693
128	547	3694
129	551	3689
130	556	3689
131	560	3686
132	565	3684
133	569	3680
134	574	3680
135	578	3676
136	582	3672
137	587	3672
138	592	3670
139	596	3665
140	601	3662
141	605	3657
142	609	3652
143	613	3649
144	618	3645
145	623	3644
146	627	3639
147	631	3637
148	636	3635
149	640	3629
150	644	3624
151	648	3616
152	652	3612
153	656	3604
154	659	3595
155	662	3586
156	668	3590
157	673	3590
158	677	3585
159	682	3584
160	687	3582
161	690	3573
162	694	3565
163	699	3563
164	702	3556
165	706	3549
166	709	3541
167	714	3538
168	718	3532
169	722	3526
170	725	3519
171	730	3516
172	734	3511
173	738	3506
174	742	3498
175	746	3497
176	750	3489
177	754	3482
178	757	3474
179	761	3469
180	765	3464
181	768	3456
182	772	3450
183	776	3445
184	781	3441
185	785	3435
186	788	3430
187	793	3425
188	796	3419
189	800	3412
190	804	3406
191	807	3399
192	812	3395
193	815	3389
194	820	3386
195	824	3381
196	828	3378
197	832	3373
198	837	3369
199	841	3365
200	845	3361
201	849	3355
202	852	3346
203	856	3341
204	860	3338
205	864	3333
206	867	3323
207	871	3319
208	876	3317
209	880	3311
210	884	3307
211	888	3303
212	892	3299
213	896	3292
214	899	3285
215	903	3277
216	907	3273
217	911	3270
218	915	3264
219	919	3260
220	924	3256
221	927	3251
222	931	3247
223	935	3241
224	940	3240
225	944	3235
226	949	3231
227	954	3230
228	958	3227
229	962	3221
230	966	3216
231	970	3212
232	974	3208
233	978	3202
234	981	3196
235	986	3194
236	990	3189
237	994	3185
238	998	3180
239	1003	3176
240	1007	3173
241	1011	3167
242	1014	3161
243	1019	3159
244	1023	3154
245	1027	3149
246	1031	3144
247	1036	3144
248	1042	3142
249	1045	3137
250	1051	3136
251	1054	3131
252	1058	3126
253	1062	3120
254	1066	3116
255	1070	3111
256	1074	3105
257	1077	3099
258	1081	3094
259	1085	3088
260	1089	3083
261	1092	3078
262	1096	3073
263	1100	3068
264	1104	3063
265	1108	3058
266	1113	3057
267	1118	3053
268	1121	3048
269	1126	3045
270	1130	3041
271	1134	3037
272	1138	3032
273	1142	3027
274	1147	3024
275	1151	3020
276	1155	3014
277	1158	3008
278	1163	3006
279	1166	3000
280	1170	2995
281	1173	2988
282	1177	2983
283	1181	2978
284	1184	2972
285	1188	2967
286	1191	2960
287	1195	2956
288	1200	2952
289	1204	2948
290	1208	2943
291	1212	2938
292	1215	2932
293	1219	2927
294	1222	2921
295	1226	2916
296	1230	2912
297	1233	2906
298	1237	2900
299	1240	2894
300	1245	2891
301	1248	2885
302	1251	2879
303	1255	2874
304	1260	2871
305	1264	2867
306	1267	2861
307	1271	2857
308	1276	2854
309	1280	2850
310	1284	2845
311	1287	2840
312	1292	2836
313	1296	2832
314	1300	2827
315	1303	2822
316	1308	2819
317	1312	2815
318	1316	2809
319	1319	2804
320	1324	2801
321	1328	2797
322	1332	2793
323	1336	2788
324	1341	2785
325	1344	2780
326	1348	2774
327	1351	2768
328	1355	2764
329	1359	2759
330	1362	2754
331	1365	2748
332	1369	2743
333	1373	2739
334	1376	2731
335	1379	2726
336	1382	2720
337	1387	2716
338	1390	2711
339	1394	2707
340	1398	2701
341	1401	2697
342	1405	2692
343	1409	2687
344	1412	2682
345	1416	2677
346	1421	2674
347	1424	2669
348	1428	2664
349	1432	2659
350	1436	2656
351	1440	2652
352	1444	2647
353	1448	2642
354	1453	2640
355	1457	2635
356	1460	2631
357	1464	2626
358	1469	2624
359	1473	2619
360	1477	2614
361	1480	2609
362	1485	2606
363	1488	2600
364	1491	2595
365	1495	2590
366	1500	2587
367	1504	2583
368	1508	2578
369	1511	2574
370	1516	2571
371	1520	2566
372	1524	2562
373	1527	2557
374	1532	2554
375	1536	2550
376	1540	2545
377	1544	2541
378	1548	2538
379	1552	2533
380	1556	2529
381	1560	2525
382	1565	2522
383	1569	2517
384	1572	2512
385	1576	2507
386	1581	2504
387	1585	2500
388	1588	2495
389	1592	2490
390	1596	2486
391	1600	2482
392	1603	2477
393	1607	2472
394	1612	2469
395	1616	2465
396	1619	2460
397	1623	2455
398	1627	2452
399	1632	2448
400	1635	2443
401	1639	2439
402	1645	2437
403	1649	2433
404	1653	2428
405	1657	2424
406	1662	2421
407	1665	2417
408	1669	2412
409	1673	2407
410	1677	2403
411	1681	2400
412	1685	2395
413	1689	2391
414	1693	2387
415	1697	2383
416	1701	2379
417	1705	2374
418	1710	2371
419	1714	2367
420	1718	2363
421	1722	2359
422	1727	2356
423	1731	2351
424	1734	2347
425	1739	2343
426	1743	2339
427	1748	2336
428	1752	2332
429	1757	2329
430	1761	2325
431	1765	2321
432	1769	2316
433	1774	2313
434	1778	2309
435	1781	2305
436	1785	2300
437	1790	2297
438	1794	2293
439	1798	2289
440	1804	2286
441	1808	2282
442	1812	2278
443	1816	2274
444	1822	2272
445	1826	2268
446	1830	2264
447	1833	2259
448	1838	2255
449	1842	2252
450	1846	2247
451	1850	2243
452	1854	2239
453	1859	2236
454	1863	2232
455	1869	2229
456	1873	2225
457	1877	2221
458	1881	2217
459	1886	2214
460	1890	2210
461	1894	2206
462	1898	2202
463	1903	2198
464	1907	2194
465	1911	2190
466	1916	2186
467	1920	2183
468	1925	2179
469	1930	2176
470	1935	2173
471	1939	2169
472	1943	2165
473	1949	2162
474	1953	2158
475	1957	2155
476	1962	2152
477	1967	2148
478	1972	2145
479	1977	2141
480	1982	2139
481	1986	2134
482	1990	2130
483	1995	2126
484	1999	2123
485	2003	2119
486	2007	2114
487	2013	2112
488	2017	2108
489	2021	2104
490	2026	2100
491	2031	2097
492	2035	2093
493	2039	2089
494	2045	2086
495	2050	2083
496	2054	2079
497	2060	2076
498	2064	2073
499	2069	2069
500	2074	2066
501	2079	2062
502	2084	2059
503	2088	2055
504	2093	2052
505	2097	2048
506	2102	2044
507	2107	2040
508	2111	2036
509	2115	2032
510	2119	2028
511	2124	2024
512	2129	2021
513	2133	2017
514	2138	2013
515	2142	2009
516	2147	2005
517	2151	2001
518	2155	1997
519	2159	1993
520	2163	1989
521	2167	1984
522	2172	1981
523	2176	1977
524	2180	1972
525	2184	1968
526	2189	1964
527	2193	1960
528	2197	1956
529	2202	1952
530	2206	1948
531	2210	1944
532	2214	1940
533	2218	1936
534	2223	1932
535	2227	1928
536	2231	1924
537	2236	1920
538	2240	1916
539	2244	1912
540	2248	1907
541	2253	1904
542	2257	1900
543	2261	1896
544	2266	1892
545	2271	1888
546	2275	1884
547	2279	1879
548	2283	1875
549	2287	1871
550	2291	1867
551	2296	1863
552	2300	1859
553	2304	1855
554	2308	1850
555	2312	1846
556	2316	1842
557	2320	1838
558	2325	1834
559	2329	1830
560	2334	1826
561	2338	1822
562	2342	1818
563	2346	1814
564	2351	1810
565	2355	1806
566	2360	1802
567	2364	1798
568	2368	1794
569	2372	1789
570	2376	1785
571	2380	1781
572	2384	1776
573	2388	1772
574	2391	1767
575	2396	1763
576	2400	1759
577	2403	1755
578	2407	1750
579	2412	1746
580	2416	1742
581	2420	1738
582	2424	1734
583	2429	1730
584	2433	1726
585	2437	1722
586	2441	1718
587	2446	1714
588	2450	1710
589	2455	1706
590	2459	1702
591	2463	1698
592	2468	1694
593	2472	1690
594	2477	1686
595	2482	1682
596	2486	1678
597	2491	1674
598	2495	1670
599	2499	1666
600	2503	1662
601	2508	1658
602	2512	1654
603	2516	1649
604	2520	1645
605	2525	1641
606	2529	1637
607	2533	1633
608	2537	1629
609	2542	1625
610	2546	1621
611	2550	1617
612	2555	1613
613	2559	1608
614	2563	1604
615	2567	1600
616	2572	1596
617	2576	1592
618	2580	1588
619	2584	1584
620	2589	1580
621	2593	1576
622	2597	1572
623	2602	1568
624	2607	1564
625	2611	1560
626	2615	1555
627	2620	1552
628	2624	1548
629	2628	1543
630	2632	1539
631	2637	1535
632	2641	1531
633	2646	1527
634	2651	1524
635	2656	1520
636	2660	1516
637	2665	1512
638	2670	1508
639	2674	1504
640	2678	1500
641	2683	1496
642	2687	1492
643	2691	1487
644	2695	1483
645	2699	1479
646	2703	1475
647	2707	1470
648	2711	1466
649	2715	1462
650	2719	1457
651	2723	1453
652	2727	1449
653	2731	1445
654	2735	1440
655	2739	1436
656	2743	1432
657	2747	1428
658	2752	1424
659	2755	1419
660	2759	1415
661	2764	1411
662	2768	1407
663	2772	1402
664	2777	1398
